公司名稱,職位,上班地址,職缺網址,職務更新日期,加入日期
TTI_智同科技股份有限公司,Python 軟體研發工程師,台北市信義區市民大道6段288號10樓,http://www.104.com.tw/job/?jobno=3j303&jobsource=n104bank1&hotjob_chr=,2016-07-25,2016-07-28
燿麒科技股份有限公司,Python 網站後端工程師,台北市大同區承德路一段35號6樓之1,http://www.104.com.tw/job/?jobno=3q6w4&jobsource=n104bank1&hotjob_chr=,2016-06-28,2016-07-28
